"FJuanGuevara_Amor_1" "FJuanGuevara_Amor_2" "FJuanGuevara_Amor_3" "SJ_Empeños2_1" "SJ_Empeños2_2" "SJ_Empeños2_3" "SJ_Empeños2_4" "SJ_Empeños2_5" "SJ_Empeños2_6" "SJ_Empeños2_7" "SJ_Empeños2_8" "SJ_Empeños2_9" "SJ_Empeños2_10" "SJ_Empeños2_11" "SJ_Empeños2_12" "SJ_Empeños2_13" "SJ_Empeños2_14" "SJ_Empeños2_15" "SJ_Empeños2_16" "SJ_Empeños2_17" "SJ_Empeños2_18" "SJ_Empeños2_19" "SJ_Empeños2_20" "SJ_Empeños2_21" "SJ_Empeños2_22"
"os" 0 0.9 0.4 0.1 0 0 0.1 0 0.5 0.3 0.6 0.6 0.4 1.2 0.2 1.4 0.6 0.6 0 0.1 1 0.6 0.7 0.9 0.3
"ya" 0.3 0.3 0.1 0.2 0.5 0.1 0.6 0.2 0.5 0.3 0.5 0 0.6 0.6 0.3 0.6 0.9 0.3 0 0.3 0.9 0.4 0.9 1.3 0.5
"sin" 0.4 0.3 1.1 0.9 0.9 0.3 0.5 0.3 1.3 0.4 0.1 0.3 0.1 0.4 0.7 0.3 0.4 0.2 0.2 0.2 0.1 0.6 0.3 0.2 0.3
"leonor" 0 0 0 0 0 0 0 0.1 0.5 0.2 0.5 0.4 1.3 0.5 0.6 0.3 1.8 0 0.2 0.3 0.8 1 0.3 0.9 1
"ser" 0.1 0.6 0.4 0.4 1.2 0.8 0.5 0.2 0.5 0.2 0.1 0.2 0.2 0.3 0.6 0.4 1 0.4 0.6 0.6 0.4 0.2 0.2 0.1 0.2
"del" 0.8 0.2 1.3 0.6 0.9 0.3 0.5 0.5 0.3 0.1 0.7 0.5 0.1 0.3 0.5 0.2 0.3 0.5 0.6 0.1 0.1 0 0.4 0.3 0.2
"más" 0.5 0.4 0.4 1 0.6 0.5 0.2 0.7 0.5 0.2 0.2 0.3 0.1 0.9 0.3 0.4 0.5 0.4 0.3 0.1 0.3 0.3 0.3 0.2 0.7
"te" 0.4 0.3 0 0.4 0 0.4 0.9 0.3 0.2 0.7 0.8 0.5 1.5 0.1 0.5 0.2 0.4 0.4 0.9 0.5 0 0 0.1 0.2 0.3
"quien" 0.2 0.4 0.1 0.2 0.7 0.6 0.3 0 0.2 0.9 0.5 0.5 0.4 1.2 0.3 0.4 0.2 0 0.6 0.4 0.2 0.5 0 0.4 0.7
"para" 0.7 0.7 0.2 0.5 0.3 0.3 0.4 0.5 0 0.5 0.5 0.4 0.3 0.3 0.3 0.4 0.7 0.4 0.3 0.1 0.5 0.3 0 0.7 0.2
"le" 0.2 0.3 0 0.5 0.4 0.8 0.5 0.3 0.4 0.4 0.2 0.4 0.7 0.2 0.4 0.6 0.1 0.3 0.3 0.8 0 0.6 0.5 0.4 0.1
"como" 0.1 0.3 0.3 0.1 0.6 0.7 0.4 0.7 0.6 0.3 0.4 0.4 0.3 0.3 0.2 0.4 0.5 0.4 0.4 0.6 0.2 0.1 0.2 0.5 0.2
"aquí" 0 0.4 0.3 0 0.1 0.3 0.1 0.1 0.2 0.5 0.5 0.1 0.6 0.4 0.1 0.7 0.2 0.3 0.5 0.5 0.5 1 0.2 0.5 0.6
"mí" 0 0.4 0.3 0.1 0.1 0.4 0.5 0.1 0.7 0.5 0.4 0.4 0.4 0.6 0.4 0.3 0.4 0.2 0.3 0.4 0.2 0.4 0.2 0.4 0.2
"mas" 0.1 0.2 0.1 0.4 0.5 0.1 0.2 0.1 0 0.2 0.3 0.3 1 0.5 0.8 0.3 0.1 0.1 0.2 0.1 0.4 0.8 0.3 0.7 0.1
"vos" 0 0.2 0.5 0 0 0 0 0 0.1 0.1 0 0.5 0 0.3 0.2 1.4 0.3 0.2 0 0.1 1.1 0.2 1.8 0.5 0.3
"ha" 0 0.5 0.4 0.3 0.2 0.6 0.6 0 0.2 0.7 0 0.6 0.1 0.2 0.8 0.4 0.1 0.1 0.1 0 0 0.7 0.5 0.2 0.3
"aunque" 0.4 0.4 0.4 0.3 0.1 0.3 0.5 0.3 0.6 0.1 0.6 0.5 0.3 0.3 0.4 0.2 0 0.2 0.2 0.4 0 0.2 0.4 0.2 0.2
"carlos" 0 0 0 0 0 0 0.1 0.4 0.4 1 0.3 0 0.2 0.1 0.1 0.7 0.1 0 0.6 0.1 0 1 0.8 1 0.4
